Identifiant PRM;Type de donnees;Date de debut;Date de fin;Grandeur physique;Grandeur metier;Etape metier;Unite;Pas en minutes
09111642617347;Courbe de charge;20/10/2020;02/02/2022;Energie active;Consommation;Comptage Brut;W;
Horodate;Valeur
2021-01-07T01:00:00+01:00;
2021-01-07T02:00:00+01:00;
2021-01-07T03:00:00+01:00;
2021-01-07T04:00:00+01:00;
2021-01-07T05:00:00+01:00;
2021-01-07T06:00:00+01:00;
2021-01-07T07:00:00+01:00;
2021-01-07T08:00:00+01:00;
2021-01-07T09:00:00+01:00;
2021-01-07T10:00:00+01:00;
2021-01-07T11:00:00+01:00;
2021-01-07T12:00:00+01:00;
2021-01-07T13:00:00+01:00;
2021-01-07T14:00:00+01:00;1061
2021-01-07T15:00:00+01:00;634
2021-01-07T16:00:00+01:00;864
2021-01-07T17:00:00+01:00;725
2021-01-07T18:00:00+01:00;817
2021-01-07T19:00:00+01:00;1274
2021-01-07T20:00:00+01:00;2058
2021-01-07T21:00:00+01:00;3204
2021-01-07T22:00:00+01:00;2491
2021-01-07T23:00:00+01:00;
2021-01-08T00:00:00+01:00;749
2021-01-08T01:00:00+01:00;490
2021-01-08T02:00:00+01:00;390
2021-01-08T03:00:00+01:00;455
2021-01-08T04:00:00+01:00;427
2021-01-08T05:00:00+01:00;480
2021-01-08T06:00:00+01:00;453
2021-01-08T07:00:00+01:00;2334
2021-01-08T08:00:00+01:00;2991
2021-01-08T09:00:00+01:00;3230
2021-01-08T10:00:00+01:00;3416
2021-01-08T11:00:00+01:00;4489
2021-01-08T12:00:00+01:00;4597
2021-01-08T13:00:00+01:00;5034
2021-01-08T14:00:00+01:00;2847
2021-01-08T15:00:00+01:00;2424
2021-01-08T16:00:00+01:00;2320
2021-01-08T17:00:00+01:00;2486
2021-01-08T18:00:00+01:00;3944
2021-01-08T19:00:00+01:00;2708
2021-01-08T20:00:00+01:00;2787
2021-01-08T21:00:00+01:00;2339
2021-01-08T22:00:00+01:00;2289
2021-01-08T23:00:00+01:00;2934
2021-01-09T00:00:00+01:00;2461
2021-01-09T01:00:00+01:00;2362
2021-01-09T02:00:00+01:00;1041
2021-01-09T03:00:00+01:00;732
2021-01-09T04:00:00+01:00;564
2021-01-09T05:00:00+01:00;665
2021-01-09T06:00:00+01:00;677
2021-01-09T07:00:00+01:00;2513
2021-01-09T08:00:00+01:00;3576
2021-01-09T09:00:00+01:00;3910
2021-01-09T10:00:00+01:00;3171
2021-01-09T11:00:00+01:00;2780
2021-01-09T12:00:00+01:00;2298
2021-01-09T13:00:00+01:00;2928
2021-01-09T14:00:00+01:00;2992
2021-01-09T15:00:00+01:00;2658
2021-01-09T16:00:00+01:00;2428
2021-01-09T17:00:00+01:00;3117
2021-01-09T18:00:00+01:00;3766
2021-01-09T19:00:00+01:00;4084
2021-01-09T20:00:00+01:00;3856
2021-01-09T21:00:00+01:00;2629
2021-01-09T22:00:00+01:00;2315
2021-01-09T23:00:00+01:00;1330
2021-01-10T00:00:00+01:00;362
2021-01-10T01:00:00+01:00;423
2021-01-10T02:00:00+01:00;378
2021-01-10T03:00:00+01:00;633
2021-01-10T04:00:00+01:00;482
2021-01-10T05:00:00+01:00;529
2021-01-10T06:00:00+01:00;531
2021-01-10T07:00:00+01:00;2339
2021-01-10T08:00:00+01:00;3273
2021-01-10T09:00:00+01:00;3482
2021-01-10T10:00:00+01:00;3551
2021-01-10T11:00:00+01:00;2473
2021-01-10T12:00:00+01:00;2873
2021-01-10T13:00:00+01:00;4427
2021-01-10T14:00:00+01:00;3550
2021-01-10T15:00:00+01:00;3407
2021-01-10T16:00:00+01:00;2962
2021-01-10T17:00:00+01:00;3230
2021-01-10T18:00:00+01:00;3184
2021-01-10T19:00:00+01:00;3212
2021-01-10T20:00:00+01:00;3920
2021-01-10T21:00:00+01:00;4324
2021-01-10T22:00:00+01:00;4184
2021-01-10T23:00:00+01:00;4466
2021-01-11T00:00:00+01:00;2989
2021-01-11T01:00:00+01:00;2832
2021-01-11T02:00:00+01:00;2806
2021-01-11T03:00:00+01:00;1258
2021-01-11T04:00:00+01:00;1046
2021-01-11T05:00:00+01:00;1068
2021-01-11T06:00:00+01:00;987
2021-01-11T07:00:00+01:00;2844
2021-01-11T08:00:00+01:00;3767
2021-01-11T09:00:00+01:00;4060
2021-01-11T10:00:00+01:00;3773
2021-01-11T11:00:00+01:00;3490
2021-01-11T12:00:00+01:00;5530
2021-01-11T13:00:00+01:00;3508
2021-01-11T14:00:00+01:00;3049
2021-01-11T15:00:00+01:00;4515
2021-01-11T16:00:00+01:00;5092
2021-01-11T17:00:00+01:00;3442
2021-01-11T18:00:00+01:00;2819
2021-01-11T19:00:00+01:00;2823
2021-01-11T20:00:00+01:00;2368
2021-01-11T21:00:00+01:00;2358
2021-01-11T22:00:00+01:00;3620
2021-01-11T23:00:00+01:00;2460
2021-01-12T00:00:00+01:00;905
2021-01-12T01:00:00+01:00;420
2021-01-12T02:00:00+01:00;391
2021-01-12T03:00:00+01:00;485
2021-01-12T04:00:00+01:00;451
2021-01-12T05:00:00+01:00;457
2021-01-12T06:00:00+01:00;481
2021-01-12T07:00:00+01:00;2188
2021-01-12T08:00:00+01:00;2699
2021-01-12T09:00:00+01:00;3370
2021-01-12T10:00:00+01:00;4227
2021-01-12T11:00:00+01:00;4048
2021-01-12T12:00:00+01:00;3328
2021-01-12T13:00:00+01:00;2669
2021-01-12T14:00:00+01:00;1582
2021-01-12T15:00:00+01:00;1525
2021-01-12T16:00:00+01:00;750
2021-01-12T17:00:00+01:00;845
2021-01-12T18:00:00+01:00;701
2021-01-12T19:00:00+01:00;1008
2021-01-12T20:00:00+01:00;1066
2021-01-12T21:00:00+01:00;1427
2021-01-12T22:00:00+01:00;2391
2021-01-12T23:00:00+01:00;2318
2021-01-13T00:00:00+01:00;2007
2021-01-13T01:00:00+01:00;416
2021-01-13T02:00:00+01:00;430
2021-01-13T03:00:00+01:00;405
2021-01-13T04:00:00+01:00;437
2021-01-13T05:00:00+01:00;343
2021-01-13T06:00:00+01:00;426
2021-01-13T07:00:00+01:00;1707
2021-01-13T08:00:00+01:00;1881
2021-01-13T09:00:00+01:00;2320
2021-01-13T10:00:00+01:00;3680
2021-01-13T11:00:00+01:00;2313
2021-01-13T12:00:00+01:00;2037
2021-01-13T13:00:00+01:00;2213
2021-01-13T14:00:00+01:00;2016
2021-01-13T15:00:00+01:00;3157
2021-01-13T16:00:00+01:00;1992
2021-01-13T17:00:00+01:00;791
2021-01-13T18:00:00+01:00;956
2021-01-13T19:00:00+01:00;1453
2021-01-13T20:00:00+01:00;2907
2021-01-13T21:00:00+01:00;3030
2021-01-13T22:00:00+01:00;1567
2021-01-13T23:00:00+01:00;2222
2021-01-14T00:00:00+01:00;518
2021-01-14T01:00:00+01:00;294
2021-01-14T02:00:00+01:00;362
2021-01-14T03:00:00+01:00;294
2021-01-14T04:00:00+01:00;376
2021-01-14T05:00:00+01:00;325
2021-01-14T06:00:00+01:00;340
2021-01-14T07:00:00+01:00;1489
2021-01-14T08:00:00+01:00;1729
2021-01-14T09:00:00+01:00;2045
2021-01-14T10:00:00+01:00;2331
2021-01-14T11:00:00+01:00;1574
2021-01-14T12:00:00+01:00;1279
2021-01-14T13:00:00+01:00;1679
2021-01-14T14:00:00+01:00;753
2021-01-14T15:00:00+01:00;396
2021-01-14T16:00:00+01:00;484
2021-01-14T17:00:00+01:00;830
2021-01-14T18:00:00+01:00;523
2021-01-14T19:00:00+01:00;413
2021-01-14T20:00:00+01:00;1181
2021-01-14T21:00:00+01:00;1068
2021-01-14T22:00:00+01:00;3288
2021-01-14T23:00:00+01:00;2259
2021-01-15T00:00:00+01:00;1467
2021-01-15T01:00:00+01:00;389
2021-01-15T02:00:00+01:00;373
2021-01-15T03:00:00+01:00;312
2021-01-15T04:00:00+01:00;428
2021-01-15T05:00:00+01:00;353
2021-01-15T06:00:00+01:00;374
2021-01-15T07:00:00+01:00;1590
2021-01-15T08:00:00+01:00;1758
2021-01-15T09:00:00+01:00;2190
2021-01-15T10:00:00+01:00;2239
2021-01-15T11:00:00+01:00;2685
2021-01-15T12:00:00+01:00;1914
2021-01-15T13:00:00+01:00;2152
2021-01-15T14:00:00+01:00;1255
2021-01-15T15:00:00+01:00;1570
2021-01-15T16:00:00+01:00;504
2021-01-15T17:00:00+01:00;550
2021-01-15T18:00:00+01:00;759
2021-01-15T19:00:00+01:00;803
2021-01-15T20:00:00+01:00;1581
2021-01-15T21:00:00+01:00;1455
2021-01-15T22:00:00+01:00;2931
2021-01-15T23:00:00+01:00;2262
2021-01-16T00:00:00+01:00;981
2021-01-16T01:00:00+01:00;314
2021-01-16T02:00:00+01:00;320
2021-01-16T03:00:00+01:00;342
2021-01-16T04:00:00+01:00;343
2021-01-16T05:00:00+01:00;333
2021-01-16T06:00:00+01:00;377
2021-01-16T07:00:00+01:00;1997
2021-01-16T08:00:00+01:00;2385
2021-01-16T09:00:00+01:00;2944
2021-01-16T10:00:00+01:00;2643
2021-01-16T11:00:00+01:00;2502
2021-01-16T12:00:00+01:00;2408
2021-01-16T13:00:00+01:00;2642
2021-01-16T14:00:00+01:00;2179
2021-01-16T15:00:00+01:00;1520
2021-01-16T16:00:00+01:00;1661
2021-01-16T17:00:00+01:00;1827
2021-01-16T18:00:00+01:00;2374
2021-01-16T19:00:00+01:00;1742
2021-01-16T20:00:00+01:00;2043
2021-01-16T21:00:00+01:00;1975
2021-01-16T22:00:00+01:00;2096
2021-01-16T23:00:00+01:00;3044
2021-01-17T00:00:00+01:00;2246
2021-01-17T01:00:00+01:00;1232
2021-01-17T02:00:00+01:00;392
2021-01-17T03:00:00+01:00;353
2021-01-17T04:00:00+01:00;371
2021-01-17T05:00:00+01:00;386
2021-01-17T06:00:00+01:00;375
2021-01-17T07:00:00+01:00;1787
2021-01-17T08:00:00+01:00;2140
2021-01-17T09:00:00+01:00;2615
2021-01-17T10:00:00+01:00;2728
2021-01-17T11:00:00+01:00;1517
2021-01-17T12:00:00+01:00;2109
2021-01-17T13:00:00+01:00;2237
2021-01-17T14:00:00+01:00;2334
2021-01-17T15:00:00+01:00;1615
2021-01-17T16:00:00+01:00;2303
2021-01-17T17:00:00+01:00;399
2021-01-17T18:00:00+01:00;686
2021-01-17T19:00:00+01:00;2532
2021-01-17T20:00:00+01:00;2559
2021-01-17T21:00:00+01:00;2703
2021-01-17T22:00:00+01:00;3300
2021-01-17T23:00:00+01:00;2907
2021-01-18T00:00:00+01:00;734
2021-01-18T01:00:00+01:00;489
2021-01-18T02:00:00+01:00;371
2021-01-18T03:00:00+01:00;421
2021-01-18T04:00:00+01:00;490
2021-01-18T05:00:00+01:00;503
