Identifiant PRM;Type de donnees;Date de debut;Date de fin;Grandeur physique;Grandeur metier;Etape metier;Unite
09111642617347;Index;20/10/2020;02/02/2022;Energie active;Consommation;Comptage Brut;
Horodate;Type de releve;EAS F1;EAS F2;EAS F3;EAS F4;EAS F5;EAS F6;EAS F7;EAS F8;EAS F9;EAS F10;EAS D1;EAS D2;EAS D3;EAS D4;EAS T
2020-10-21T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-10-22T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-10-23T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-10-24T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-10-25T00:00:00+02:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-10-25T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-10-26T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-10-27T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-10-28T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-10-29T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-10-30T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-10-31T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-11-01T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-11-02T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-11-03T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-11-04T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-11-05T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-11-06T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-11-07T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-11-08T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-11-09T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-11-10T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-11-11T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-11-12T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-11-13T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-11-14T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-11-15T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-11-16T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-11-17T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-11-18T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-11-19T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-11-20T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-11-21T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-11-22T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-11-23T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-11-24T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-11-25T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-11-26T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-11-27T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-11-28T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-11-29T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-11-30T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-12-01T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-12-02T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-12-03T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-12-04T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-12-05T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-12-06T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-12-07T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-12-08T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-12-09T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-12-10T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-12-11T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-12-12T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-12-13T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-12-14T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-12-15T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-12-16T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-12-17T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-12-18T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-12-19T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-12-20T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-12-21T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-12-22T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-12-23T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-12-24T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-12-25T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-12-26T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-12-27T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-12-28T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-12-29T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-12-30T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2020-12-31T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2021-01-01T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2021-01-02T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2021-01-03T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2021-01-04T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2021-01-05T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2021-01-06T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2021-01-07T23:00:00+01:00;Arrêté quotidien;;;;;;;;;;;;;;;
2021-01-08T23:00:00+01:00;Arrêté quotidien;15747;0;0;0;0;0;0;0;0;0;15747;0;0;0;15747
2021-01-09T23:00:00+01:00;Arrêté quotidien;74071;;;;;;;;;;74071;;;;74071
2021-01-10T23:00:00+01:00;Arrêté quotidien;130825;;;;;;;;;;130825;;;;130825
2021-01-11T23:00:00+01:00;Arrêté quotidien;195647;;;;;;;;;;195647;;;;195647
2021-01-12T23:00:00+01:00;Arrêté quotidien;266067;;;;;;;;;;266067;;;;266067
2021-01-13T23:00:00+01:00;Arrêté quotidien;306901;;;;;;;;;;306901;;;;306901
2021-01-14T23:00:00+01:00;Arrêté quotidien;346118;;;;;;;;;;346118;;;;346118
2021-01-15T23:00:00+01:00;Arrêté quotidien;372897;;;;;;;;;;372897;;;;372897
2021-01-16T23:00:00+01:00;Arrêté quotidien;404305;;;;;;;;;;404305;;;;404305
2021-01-17T23:00:00+01:00;Arrêté quotidien;446562;;;;;;;;;;446562;;;;446562
2021-01-18T23:00:00+01:00;Arrêté quotidien;486876;;;;;;;;;;486876;;;;486876
2021-01-19T23:00:00+01:00;Arrêté quotidien;539369;;;;;;;;;;539369;;;;539369
2021-01-20T23:00:00+01:00;Arrêté quotidien;578989;;;;;;;;;;578989;;;;578989
2021-01-21T23:00:00+01:00;Arrêté quotidien;610842;;;;;;;;;;610842;;;;610842
2021-01-22T23:00:00+01:00;Arrêté quotidien;651213;;;;;;;;;;651213;;;;651213
2021-01-23T23:00:00+01:00;Arrêté quotidien;685065;;;;;;;;;;685065;;;;685065
2021-01-24T23:00:00+01:00;Arrêté quotidien;722263;;;;;;;;;;722263;;;;722263
2021-01-25T23:00:00+01:00;Arrêté quotidien;776058;;;;;;;;;;776058;;;;776058
2021-01-26T23:00:00+01:00;Arrêté quotidien;817202;;;;;;;;;;817202;;;;817202
2021-01-27T23:00:00+01:00;Arrêté quotidien;881825;;;;;;;;;;881825;;;;881825
2021-01-28T23:00:00+01:00;Arrêté quotidien;929858;;;;;;;;;;929858;;;;929858
2021-01-29T23:00:00+01:00;Arrêté quotidien;959403;;;;;;;;;;959403;;;;959403
2021-01-30T23:00:00+01:00;Arrêté quotidien;986641;;;;;;;;;;986641;;;;986641
2021-01-31T23:00:00+01:00;Arrêté quotidien;1013139;;;;;;;;;;1013139;;;;1013139
2021-02-01T23:00:00+01:00;Arrêté quotidien;1038667;;;;;;;;;;1038667;;;;1038667
2021-02-02T23:00:00+01:00;Arrêté quotidien;1061964;;;;;;;;;;1061964;;;;1061964
2021-02-03T23:00:00+01:00;Arrêté quotidien;1082696;;;;;;;;;;1082696;;;;1082696
2021-02-04T23:00:00+01:00;Arrêté quotidien;1105174;;;;;;;;;;1105174;;;;1105174
2021-02-05T23:00:00+01:00;Arrêté quotidien;1127194;;;;;;;;;;1127194;;;;1127194
2021-02-06T23:00:00+01:00;Arrêté quotidien;1151713;;;;;;;;;;1151713;;;;1151713
2021-02-07T23:00:00+01:00;Arrêté quotidien;1178166;;;;;;;;;;1178166;;;;1178166
2021-02-08T23:00:00+01:00;Arrêté quotidien;1214156;;;;;;;;;;1214156;;;;1214156
2021-02-09T23:00:00+01:00;Arrêté quotidien;1254443;;;;;;;;;;1254443;;;;1254443
2021-02-10T23:00:00+01:00;Arrêté quotidien;1311230;;;;;;;;;;1311230;;;;1311230
2021-02-11T23:00:00+01:00;Arrêté quotidien;1363328;;;;;;;;;;1363328;;;;1363328
2021-02-12T23:00:00+01:00;Arrêté quotidien;1443526;;;;;;;;;;1443526;;;;1443526
2021-02-13T23:00:00+01:00;Arrêté quotidien;1520243;;;;;;;;;;1520243;;;;1520243
2021-02-14T23:00:00+01:00;Arrêté quotidien;1596077;;;;;;;;;;1596077;;;;1596077
2021-02-15T23:00:00+01:00;Arrêté quotidien;1674787;;;;;;;;;;1674787;;;;1674787
2021-02-16T23:00:00+01:00;Arrêté quotidien;1729100;;;;;;;;;;1729100;;;;1729100
2021-02-17T23:00:00+01:00;Arrêté quotidien;1766477;;;;;;;;;;1766477;;;;1766477
2021-02-18T23:00:00+01:00;Arrêté quotidien;1802650;;;;;;;;;;1802650;;;;1802650
2021-02-19T23:00:00+01:00;Arrêté quotidien;1833060;;;;;;;;;;1833060;;;;1833060
2021-02-20T23:00:00+01:00;Arrêté quotidien;1860362;;;;;;;;;;1860362;;;;1860362
